Clinic Name,Type,Location,Contact Email CC'd,Date Contacted,Category,Response,Meeting Scheduled,Status,Notes
Aga Khan Health Services Tanzania,Private hospital chain,Dar es Salaam / Mwanza / Arusha,gmariki@necuva.com,2026-05-28,Tier 1 Private,Awaiting,,Email sent,LinkedIn research → cold email to administrator
Shree Hindu Mandal Hospital,Private hospital,Dar es Salaam (Upanga),gmariki@necuva.com,2026-05-28,Tier 1 Private,Awaiting,,Email sent,Community health angle
Premier Care Hospital,Private clinic,Dar es Salaam (Masaki / Oyster Bay),gmariki@necuva.com,2026-05-28,Tier 1 Private,Awaiting,,Email sent,Efficiency and patient experience angle
Dar IVF,Private clinic,Dar es Salaam,gmariki@necuva.com,2026-05-28,Tier 1 Private,Awaiting,,Email sent,Added in extended outreach round
Hans Mgaya Hospital,Private hospital,Dar es Salaam,gmariki@necuva.com,2026-05-28,Tier 1 Private,Awaiting,,Email sent,Added in extended outreach round
NuLife,Private clinic,Dar es Salaam,gmariki@necuva.com,2026-05-28,Tier 1 Private,Awaiting,,Email sent,Added in extended outreach round
Komakoma Polyclinic,Private polyclinic,Dar es Salaam,gmariki@necuva.com,2026-05-28,Tier 1 Private,Awaiting,,Email sent,Added in extended outreach round
Kairuki Hospital,Private hospital,Dar es Salaam,gmariki@necuva.com,2026-05-28,Tier 1 Private,Awaiting,,Email sent,Added in extended outreach round
Columbia Africa IST Clinic,Private clinic,Dar es Salaam,gmariki@necuva.com,2026-05-28,Tier 1 Private,Awaiting,,Email sent,Added in extended outreach round
CSSC (Christian Social Services Commission),Faith-based network,Dodoma (national HQ),gmariki@necuva.com,2026-05-28,Tier 2 Faith-Based,Awaiting,,Email sent,Email to national coordinator; requesting intro to member hospitals
BAKWATA Health Facilities,Faith-based network,Zanzibar / Coastal Tanzania,gmariki@necuva.com,2026-05-28,Tier 2 Faith-Based,Awaiting,,Email sent,Contact BAKWATA health committee
MDH (Management and Development for Health),NGO,Multiple regions Tanzania,gmariki@necuva.com,2026-05-28,Tier 3 NGO,Awaiting,,Email sent,LinkedIn research → cold email; integration with existing programs angle
Amref Health Africa Tanzania,NGO,Dar es Salaam (country office),gmariki@necuva.com,2026-05-28,Tier 3 NGO,Awaiting,,Email sent,Innovation partnership framing; rural/offline focus
Jhpiego Tanzania,NGO,Dar es Salaam,gmariki@necuva.com,2026-05-28,Tier 3 NGO,Awaiting,,Email sent,Pilot as research collaboration; co-publish results angle
